CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
spiral-calendar,"A spiral-bound calendar. Generally depicted as a monthly calendar, with a red or blue header. Apple and Samsung’s pages are curled up at the bottom right, as to flip for a new month. Like 📅 Calendar and 📆 Tear-Off Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally. Microsoft, Twitter and Facebook’s design feature a generic month. WhatsApp's design shows in a green header February, when it was incorporated in 2009. Apple, Samsung, and JoyPixels’s designs show the month of July, when World Emoji Day falls on the 17th, a date Google's design used to specifically display.",,Spiral Calendar was approved as part of Unicode 7.0 in 2014 under the name “Spiral Calendar Pad” and added to Emoji 1.0 in 2015.,
spiral-notepad,"A spiral-bound, flip-style notepad or notebook of lined paper, as used for everyday note-taking. Commonly used for content concerning various types of documents and writing. Most platforms depict a notepad opened to an empty, white page, sometimes shown curled at the bottom. Microsoft’s design is shown closed, with a yellow cover.",,Spiral Notepad was approved as part of Unicode 7.0 in 2014 under the name “Spiral Note Pad” and added to Emoji 1.0 in 2015.,
spiral-shell,"A seashell, as found at the beach. Generally depicted as an empty, spiraling, white seashell, as grown by a sea snail or home to a hermit crab. Positioned at various angles across platforms. Often used for various content concerning beaches, ocean and ocean life, and summer fun. Apple’s design previously resembled a clam shell, Microsoft’s a snail shell. Google’s was previously blue.",,Spiral Shell was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
sponge,"A peanut-shaped sponge, as used for cleaning or bathing. Generally depicted in yellow and at different angles across platforms. Commonly used for various content concerning bathing, washing, and cleaning.",,Sponge was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
spoon,"A silver spoon, as used to eat soup, cereal, or ice cream as well as serve food or stir drinks. Positioned at various angles across platforms. May be paired with Fork and Knife, Fork and Knife With Plate, and Bowl With Spoon.",,Spoon was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
sport-utility-vehicle,"A blue or green Sport Utility Vehicle or station wagon, often with a spare tire on the back. Commonly used as a generic blue or green car. Sport Utility Vehicle or SUV is an emoji whose meaning was likely lost in translation as it moved from Japanese phone carriers to the Unicode Standard in 2010. This emoji goes back to the late 1990s when it was included in Docomo's emoji set. In 2009, it appeared on a proposal as one of many symbols available on Japanese phones recommended to be encoded into the Unicode Standard. In that proposal, the symbol was referred to as a ""recreational vehicle"" or RV. The original Japanese emojis look more like station wagons or SUVs than RVs. At various points, platforms including Google and Samsung showed this emoji as an RV, but ultimately the designs across platforms converged to a car that looks more like an SUV or station wagon. At a small scale this emoji is barely distinguishable from 🚗 Automobile on some platforms.",,Sport Utility Vehicle was approved as part of Unicode 6.0 in 2010 under the name “Recreational Vehicle” and added to Emoji 1.0 in 2015.,
sports-medal,"A gold medal, given to a person who has won a sporting event, such as a race. Not to be confused with the military medal emoji.",,Sports Medal was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
spouting-whale,"A friendly, cartoon-styled whale, shown spouting water from its blowhole. Generally depicted as a light-blue whale in full profile facing left, with a round body and white underside, its tail held upright. Often used with an affectionate tone. Not to be confused with the more lifelike 🐋 Whale, though their applications may overlap. WhatsApp’s whale is gray, as Microsoft and Facebook’s whales previously were. Twitter’s whale was previously purple.",,Spouting Whale was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
squid,"A squid, an octopus-like sea animal with ten arms. Generally depicted as a pinkish-orange giant squid, facing forward or angled to the left, with a slender, arrow-like body, small eyes, and two, long arms raised up at its sides. Platforms generally depict six arms. Occasionally used to represent squid as a food item. Not to be confused with 🐙 Octopus, though their applications may overlap. Microsoft, WhatsApp and Twitter’s squid designs are facing forward, as was a previous Google design. Samsung’s squid was previously gray.",,Squid was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
squinting-face-with-tongue,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome!  Similar to 😆 Grinning Squinting Face. Generally more exuberant than 😛 Face With Tongue and 😜 Winking Face With Tongue. Samsung previously featured a more sour expression. Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways.",,Squinting Face with Tongue was approved as part of Unicode 6.0 in 2010 under the name “Face with Stuck-Out Tongue and Tightly-Closed Eyes” and added to Emoji 1.0 in 2015.,
stadium,"A large capacity stadium, featuring a large amount of seating for sporting fans, or people attending other shows hosted by the stadium.",,Stadium was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
star-and-crescent,"The crescent moon and star is a symbol often associated with the religion of Islam. This symbol can be found on the flags of many countries, such as Algeria, Azerbaijan, Malaysia, Pakistan and Turkey.",,Star and Crescent was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
star-of-david,A symbol often used in relation to the religion of Judaism. Not to be confused with the Six Pointed Star With Middle Dot emoji.,,Star of David was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
star-struck,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting.",,Star-Struck was approved as part of Unicode 10.0 in 2017 under the name “Grinning Face with Star Eyes” and added to Emoji 5.0 in 2017.,
star,"A classic, five-point gold star. Commonly used for various metaphorical senses of star (e.g., for fame, success, excellence, reviews). Also used for emphasis or flair. Occasionally used for astronomical stars. Not to be confused with 💫 Dizzy, 🌟 Glowing Star, 🌠 Shooting Star, or ✨ Sparkles, though their applications may overlap. Samsung and Facebook’s stars were once silver. See the glossary for the term white in Unicode character names.",,Star was approved as part of Unicode 5.1 in 2008 under the name “White Medium Star” and added to Emoji 1.0 in 2015.,
station,"A station, presumed to be a train station. Displays a train alongside a platform, where passengers can board.",,Station was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
statue-of-liberty,"The Statue of Liberty, often used as a depiction of New York City.",,Statue of Liberty was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
steaming-bowl,"A bowl of steaming-hot food. Depicted as Japanese ramen (noodles in broth) with chopsticks on most platforms, though it can represent a warm meal more generally. Samsung’s design previously resembled Pot of Food.",,Steaming Bowl was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
stethoscope,"A stethoscope with a round resonator and two earpieces. Shown in black, blue, green, or red, depending on the platform.",,Stethoscope was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
stop-button,"A stop icon, displayed as a square.",,Stop Button was approved as part of Unicode 7.0 in 2014 under the name “Black Square for Stop” and added to Emoji 1.0 in 2015.,
stop-sign,"A red, octagonal sign. Used in many countries as a stop sign.",,Stop Sign was approved as part of Unicode 9.0 in 2016 under the name “Octagonal Sign” and added to Emoji 3.0 in 2016.,
stopwatch,"An analog, handheld timepiece used to measure elapsed time, as for athletic sprints. Appearance varies across platforms, but depicted with two or more control buttons on its top. Used for various content concerning time. Not to be confused with ⏰ Alarm Clock or other clock emojis.",,Stopwatch was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
straight-ruler,"A ruler, as used to draw straight lines and measure distances. Variously depicted as a metal, wood, or plastic straightedge with length markings at a 45° angle. Commonly used for content concerning schooling, building, and measurement in various disciplines. May also represent various concepts of straightness and size.",,Straight Ruler was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
strawberry,The fruit of a rich red strawberry dotted with seeds and crowned with green leaves. Google previously depicted the fruit in orange.,,Strawberry was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
student-dark-skin-tone,,"The Student: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 🎓 Graduation Cap.These display as a single emoji on supported platforms.",Student: Dark Skin Tone was added to Emoji 12.1 in 2019.,
student-light-skin-tone,,"The Student: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 🎓 Graduation Cap.These display as a single emoji on supported platforms.",Student: Light Skin Tone was added to Emoji 12.1 in 2019.,
student-medium-dark-skin-tone,,"The Student: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 🎓 Graduation Cap.These display as a single emoji on supported platforms.",Student: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.,
student-medium-light-skin-tone,,"The Student: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 🎓 Graduation Cap.These display as a single emoji on supported platforms.",Student: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.,
student-medium-skin-tone,,"The Student: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 🎓 Graduation Cap.These display as a single emoji on supported platforms.",Student: Medium Skin Tone was added to Emoji 12.1 in 2019.,
